Cement (kg/m^3),Flyash(kg/m^3),Water/powder,Sand(kg/m^3),Coarse Aggregate(kg/m^3),Superplasticizer,Compressive Strength (Mpa)
304.8,99.6,0.48,705.2,959.4,0.03,30.12
305,100,0.48,705,959,0.03,30.12
480,0,0.4,712.2,936.2,0,43.94
220,180,0.33,982,900,0.35,51
164,200,0.5,846,849,0.08,15.09
210,100,0.44,910,837,0.01,19.1
344,147,0.35,814,881,0.12,48.75
164.2,200.1,0.5,846,849.3,0.08,15.09
357,193,0.33,878,742,0.02,67.5
275,155,0.43,830,900,0.2,36
333,215,0.33,835,766,0.24,50.24
220,180,0.39,916,900,0.35,47
250,160,0.34,746,837,0.01,26.7
321,128,0.41,780,870,0.03,37.26
321.4,127.9,0.41,779.7,870.1,0.04,37.27
250,160,0.23,919,837,0.01,36.3
250,160,0.34,742,837,0.01,26.4
355.9,141.6,0.39,778.4,801.4,0.03,40.87
356,142,0.39,778,801,0.03,40.87
460,0,0.35,693.81,1085.2,0,68
298,107,0.4,784,953,0.04,35.86
350,111,0.39,831,900,0.32,61
485,0,0.3,800,1120,0,71.99
298.1,107.5,0.4,784,953.2,0.04,35.87
480,0,0.4,721,936,0,43.89
198,232,0.34,874,900,0.2,46
158,195,0.62,713,898,0.07,8.54
350,162,0.59,768,840,0.09,51.7
158.4,194.9,0.62,712.9,897.7,0.07,8.54
251.81,99.94,0.42,899.76,1006,0.05,33.94
249.1,98.75,0.45,889.01,987.76,0.05,30.85
210,220,0.22,786,837,0.01,26.7
275,275,0.34,691,880,1.25,57.9
250,160,0.34,742,837,0.01,26
250,261,0.55,478,837,0.5,17
161,241,0.35,866,864,0.3,35.8
300,200,0.35,923,663,0.7,5.69
540,0,0.3,676,1055,0,61.89
290,220,0.26,625,837,0,32.9
525,0,0.36,613,1125,0,55.94
213.5,174.24,0.41,771.9,1043.6,0.05,44.64
465,85,0.41,910,592,0.02,35.19
250,275,0.34,842,772,0.23,39.62
210,220,0.65,562,837,0.2,10.2
397,0,0.47,734,1040,0,36.94
368,92,0.35,693.81,1085.2,0,66
465,85,0.41,910,590,0.97,35.19
250,160,0.34,742,837,0.01,25.3
520,0,0.34,805,870,0.01,51.02
213.5,174.24,0.4,775.48,1052.3,0.05,45.94
192,158,0.39,1024,900,0.35,44
437,80,0.34,743,924,0.43,69.7
500,0,0.3,655,1033,0.02,69.84
336.5,0,0.54,816.8,985.8,0.01,44.87
336,0,0.54,817,986,0.01,44.86
220,180,0.39,916,900,0.35,49
246.83,125.08,0.39,800.89,1086.8,0.05,52.5
220,180,0.39,916,900,0.12,49
385,0,0.48,763,966,0,31.35
540,60,0.33,900,750,0.02,78.05
322.2,115.6,0.45,813.4,817.9,0.03,31.18
322,116,0.45,813,818,0.03,31.18
250,160,0.34,742,837,0.01,24.1
290.35,96.18,0.43,865,961.18,0.03,34.74
252.31,98.75,0.42,889.01,987.76,0.06,50.6
380,145,0.35,988,659,0.28,65.5
344,86,0.47,1135,630,0.01,50.37
438,263,0.27,774,72,0.02,69.5
380,192,0.35,931,621,0.21,97.8
412,138,0.33,887,752,0.02,73.4
350,186,0.33,786,851,0.22,70.4
375,125,0.35,938,673,0.7,60.8
